Ticker,Price,range_vol_ann,avg_volume,earnings_date
AAPL,311.3,0.33177721440749963,56328.74,2026-07-30
AMAT,496.21,0.8524610724250111,9565.19,2026-08-13
AMD,469.45,0.9048469483840901,29372.1,2026-08-04
AMZN,260.11,0.4063874013795212,49825.89,2026-07-30
ANET,183.75,0.8095999011857647,8361.16,2026-08-04
APD,300.33,0.3222525096876671,1261.7,2026-07-30
ARM,250.72,1.2017002454855372,8879.39,2026-07-29
ASML,1750.31,0.5286211119507053,1895.67,2026-07-15
AVGO,364.03,0.5889442418429779,26041.0,2026-09-02
CEG,272.92,0.5905316926296167,3486.06,2026-08-06
DELL,434.78,1.1493143695264583,8692.76,2026-09-01
GEV,966.01,0.730227361853827,2804.41,2026-07-22
GLD,415.26,0.18731919282337303,7807.98,
GOOG,338.2,0.4127372045260762,21965.72,2026-07-22
HLIO,76.31,0.5540203245369253,353.11,2026-08-10
HPE,52.89,0.9175465546772001,26196.01,2026-09-02
IREN,42.6,1.538239812252953,45745.99,2026-08-27
KLAC,185.86,0.8286493106254298,12826.78,2026-07-28
LRCX,310.53,0.9207214562504775,11657.19,2026-07-29
MCD,269.13,0.31114035418119584,4602.37,2026-08-04
MMM,178.09,0.33971446834069347,3596.37,2026-07-21
MRVL,251.01,1.1080406490738506,41090.3,2026-08-27
MSFT,481.15,0.42226190924590873,39882.63,2026-07-29
MU,974.33,1.1207402553669605,48874.72,2026-06-24
NBIS,220.11,1.8477927156475102,21358.12,2026-08-12
NVDA,216.85,0.4762352359916263,143758.15,2026-08-26
ONTO,298.84,1.1413771155932646,1290.7,2026-08-06
Q,133.52,0.7175277555607169,1935.06,2026-08-04
SMCI,36.5,1.144552017166542,58806.5,2026-08-11
SNPS,397.92,0.49052229307137507,1969.94,2026-08-26
SPCX,134.0,1.2524986706579773,123008.1,2026-08-04
SPY,762.6,0.13810821843757162,51448.51,
TSM,416.0,0.46194817891187756,13508.66,2026-07-16
VRT,264.63,0.9191340054638388,6177.16,2026-07-29
