Ticker,Price,range_vol_ann,avg_volume,earnings_date
AAPL,305.59,0.3365395667674159,56161.8,2026-07-30
AMZN,261.31,0.3921003442997724,49857.08,2026-07-30
APD,300.86,0.34130191912733215,1273.84,2026-07-30
AVGO,392.43,0.601643848136088,25715.02,2026-09-02
DELL,479.81,1.125502607726877,8631.75,2026-09-03
GLD,405.49,0.1777944881035405,7532.78,
GOOG,341.45,0.4238493600325474,22278.97,2026-07-22
HLIO,82.0,0.5667199308300352,362.19,2026-08-10
IREN,44.9,1.5541143201193404,45776.37,2026-08-27
MCD,265.53,0.31431525575447333,4579.68,2026-08-04
MMM,180.21,0.3651136809269135,3699.03,2026-07-21
MSFT,480.35,0.42702426160582496,40559.85,2026-07-29
NBIS,268.85,1.893828788460034,20847.41,2026-08-12
NVDA,225.01,0.5063968009377626,146529.73,2026-08-26
ONTO,351.16,1.1350273124467096,1348.21,2026-08-06
Q,140.76,0.7095905016275231,1949.35,2026-08-04
SNPS,413.22,0.5571952261102028,1979.56,2026-08-26
SPCX,146.23,1.2620233753778098,125089.05,2026-08-04
SPY,772.67,0.1460454723707654,52145.77,
