Ticker,Price,range_vol_ann,avg_volume,earnings_date
AAPL,309.35,0.34130191912733215,56372.18,2026-07-30
AMAT,492.32,0.8429363677051785,9560.72,2026-08-13
AMD,473.25,0.87944773579787,29039.49,2026-08-04
AMZN,258.63,0.40003759823296614,49721.9,2026-07-30
ANET,188.65,0.7984877456792936,8275.29,2026-08-04
APD,305.1,0.3444768207006097,1260.87,2026-07-30
ARM,243.32,1.2048751470588146,8633.63,2026-07-29
ASML,1763.76,0.5222713088041502,1881.09,2026-07-15
AVGO,368.45,0.5619575784701191,26095.29,2026-09-02
CEG,272.88,0.5698948324033128,3455.59,2026-08-06
DELL,442.08,1.1016908459272956,8681.65,2026-09-01
GEV,956.85,0.7238775587072719,2805.9,2026-07-22
GLD,423.36,0.1920815451832893,7933.31,
GOOG,341.75,0.4063874013795212,21929.24,2026-07-22
HLIO,76.18,0.549257972177009,350.25,2026-08-10
HPE,53.45,0.8969096944508963,26191.21,2026-09-02
IREN,41.88,1.5176029520266494,45755.25,2026-08-27
KLAC,183.99,0.8191246059055973,12800.32,2026-07-28
LRCX,314.0,0.9159591038905612,11629.09,2026-07-29
MCD,270.95,0.3127278049678346,4593.95,2026-08-04
MMM,178.96,0.3349521159807771,3590.44,2026-07-21
MRVL,237.04,1.1096280998604895,41081.11,2026-08-27
MSFT,483.24,0.40321249980624363,39758.24,2026-07-29
MU,966.78,1.1223277061535994,48499.98,2026-06-24
NBIS,219.13,1.8176311507013736,21602.79,2026-08-12
NVDA,214.72,0.45718582655196127,142302.13,2026-08-26
ONTO,293.33,1.150901820313097,1271.52,2026-08-06
Q,128.88,0.7476893205068534,1978.66,2026-08-04
SMCI,37.24,1.1112155506471282,59015.74,2026-08-11
SNPS,397.87,0.46988543284507134,1952.55,2026-08-26
SPCX,136.97,1.233449261218312,122941.54,2026-08-04
SPY,765.72,0.14128312001084914,51444.58,
TSM,418.95,0.46194817891187756,13511.74,2026-07-16
VRT,261.95,0.9302461609703102,6164.55,2026-07-29
