Ticker,Price,range_vol_ann,avg_volume,earnings_date
AAPL,310.03,0.3349521159807771,55896.9,2026-07-30
AMAT,514.33,0.8588108755715662,9588.99,2026-08-13
AMD,484.39,0.9048469483840901,29757.12,2026-08-04
AMZN,259.45,0.3936877950864111,49906.7,2026-07-30
ANET,193.18,0.7746759838797121,8405.73,2026-08-04
APD,303.23,0.33812701755405467,1268.34,2026-07-30
ARM,253.32,1.1651888773928456,9024.47,2026-07-29
ASML,1802.98,0.5317960135239828,1897.05,2026-07-15
AVGO,380.0,0.5746571847632291,25732.21,2026-09-02
CEG,266.83,0.568307381616674,3504.85,2026-08-06
DELL,468.65,1.0905786904208243,8638.75,2026-09-03
GEV,1004.53,0.7397520665736596,2812.12,2026-07-22
GLD,398.55,0.174619586530263,7536.65,
GOOG,341.28,0.42067445845926993,22228.22,2026-07-22
HLIO,79.43,0.5444956198170928,359.0,2026-08-10
HPE,55.69,0.8619857771448436,26034.29,2026-09-02
IREN,42.0,1.5366523614663143,45640.55,2026-08-27
KLAC,194.79,0.8254744090521524,12785.7,2026-07-28
LRCX,327.92,0.9175465546772001,11590.52,2026-07-29
MCD,266.99,0.3047905510346408,4596.27,2026-08-04
MMM,180.94,0.35876387778035845,3676.77,2026-07-21
MRVL,216.0,1.0683543794078818,40766.03,2026-08-27
MSFT,481.63,0.43178661396574125,40224.39,2026-07-29
MU,940.76,1.131852410873432,49789.35,2026-06-24
NBIS,248.43,1.8398554617143164,20796.63,2026-08-12
NVDA,219.74,0.48258503913818135,145144.14,2026-08-26
ONTO,315.42,1.0905786904208243,1352.3,2026-08-06
Q,133.58,0.6730791335348318,1944.32,2026-08-04
SMCI,37.41,1.125502607726877,58205.1,2026-08-11
SNPS,404.41,0.5079842517244014,1973.56,2026-08-26
SPCX,143.34,1.2667857277377261,124902.07,2026-08-04
SPY,767.45,0.14445802158412666,51732.21,
TSM,413.41,0.4651230804851551,13568.11,2026-07-16
VRT,272.54,0.8810351865845087,6261.85,2026-07-29
