Ticker,Price,Prev Close,Gap,Change,Change from Open,Relative Volume,Average Volume,Volume,Volatility (Week),Volatility (Month),Earnings Date
AAPL,306.97,305.93,0.36%,0.34%,-0.02%,0.92,56161.8,2586927,1.52%,2.12%,7/30/2026 4:30:00 PM
AMZN,266.47,262.65,0.69%,1.45%,0.76%,0.34,49857.08,856644,2.13%,2.47%,7/30/2026 4:30:00 PM
APD,309.9,308.97,0.33%,0.30%,-0.03%,0.01,1273.84,375,1.75%,2.15%,7/30/2026 8:30:00 AM
AVGO,396.83,392.99,1.19%,0.98%,-0.21%,0.27,25715.02,350669,3.72%,3.79%,9/2/2026 4:30:00 PM
DELL,496.75,490.81,2.08%,1.21%,-0.85%,0.24,8631.75,103323,4.94%,7.09%,9/3/2026 4:30:00 PM
GLD,402.56,401.48,0.36%,0.27%,-0.09%,0.55,7532.78,208585,1.12%,1.12%,
GOOG,344.57,343.54,0.69%,0.30%,-0.39%,0.21,22278.97,234490,1.86%,2.67%,7/22/2026 4:30:00 PM
HLIO,81.49,81.49,0.00%,0.00%,0.00%,0.0,362.19,0,4.37%,3.57%,8/10/2026 4:30:00 PM
IREN,44.87,44.06,2.32%,1.84%,-0.47%,0.69,45776.37,1582268,7.03%,9.79%,8/27/2026 4:30:00 PM
MCD,272.01,272.83,-0.03%,-0.30%,-0.27%,0.07,4579.68,15902,1.92%,1.98%,8/4/2026 8:30:00 AM
MMM,182.2,182.65,-0.59%,-0.25%,0.35%,0.01,3699.03,1101,1.68%,2.30%,7/21/2026 8:30:00 AM
MSFT,491.9,495.4,-0.44%,-0.71%,-0.26%,0.13,40559.85,256720,1.68%,2.69%,7/29/2026 4:30:00 PM
NBIS,277.3,277.68,0.48%,-0.14%,-0.61%,0.77,20847.41,800824,10.32%,11.93%,8/12/2026 8:30:00 AM
NVDA,226.82,225.16,0.28%,0.74%,0.46%,0.21,146529.73,1555764,2.26%,3.19%,8/26/2026 4:30:00 PM
ONTO,340.3,331.71,2.91%,2.59%,-0.31%,0.07,1348.21,4601,5.94%,7.15%,8/6/2026 4:30:00 PM
Q,143.63,142.3,0.07%,0.93%,0.86%,0.01,1949.35,1273,3.44%,4.47%,8/4/2026 8:30:00 AM
SNPS,419.5,421.5,0.12%,-0.47%,-0.59%,0.03,1979.56,2710,2.76%,3.51%,8/26/2026 4:30:00 PM
SPCX,139.99,140.0,2.22%,-0.01%,-2.18%,0.61,125089.05,3822763,7.19%,7.95%,8/4/2026 4:30:00 PM
SPY,776.59,776.34,0.18%,0.03%,-0.14%,0.16,52145.77,428391,0.55%,0.92%,
