Ticker,Price,range_vol_ann,avg_volume,earnings_date
AAPL,316.83,0.3254274112609446,56197.56,2026-07-30
AMAT,496.17,0.8413489169185399,9594.5,2026-08-13
AMD,466.42,0.9016720468108125,29682.37,2026-08-04
AMZN,265.84,0.3921003442997724,49898.48,2026-07-30
ANET,186.45,0.7889630409594609,8409.74,2026-08-04
APD,303.22,0.32860231283422214,1260.03,2026-07-30
ARM,249.34,1.1715386805394008,8988.84,2026-07-29
ASML,1751.73,0.5206838580175114,1894.59,2026-07-15
AVGO,362.48,0.5778320863365066,25811.82,2026-09-02
CEG,274.17,0.5952940449895329,3509.92,2026-08-06
DELL,437.55,1.098515944354018,8645.06,2026-09-01
GEV,987.46,0.7508642220801309,2807.44,2026-07-22
GLD,413.84,0.18255684046345674,7616.53,
GOOG,341.7,0.4111497537394374,22159.35,2026-07-22
HLIO,76.18,0.5286211119507053,357.92,2026-08-10
HPE,53.13,0.8762728342245925,26077.31,2026-09-02
IREN,42.84,1.5049033457335395,45643.42,2026-08-27
KLAC,187.27,0.8048375488258486,12850.13,2026-07-28
LRCX,307.17,0.8984971452375351,11616.65,2026-07-29
MCD,267.45,0.30320310024800207,4582.3,2026-08-04
MMM,180.66,0.3571764269937197,3625.95,2026-07-21
MRVL,237.27,1.079466534914353,40788.59,2026-08-27
MSFT,484.31,0.41749955688599244,40089.85,2026-07-29
MU,937.1,1.138202214019987,49428.49,2026-06-24
NBIS,223.9,1.8684295758738139,20824.72,2026-08-12
NVDA,217.56,0.4730603344183488,144459.19,2026-08-26
ONTO,299.5,1.1128030014337669,1351.57,2026-08-06
Q,126.04,0.6746665843214706,1930.18,2026-08-04
SMCI,36.58,1.1413771155932646,58611.2,2026-08-11
SNPS,401.24,0.5048093501511239,1969.18,2026-08-26
SPCX,139.65,1.2667857277377261,124016.72,2026-08-04
SPY,769.06,0.1396956692242104,51669.94,
TSM,412.09,0.46194817891187756,13598.48,2026-07-16
VRT,261.0,0.885797538944425,6222.13,2026-07-29
